DateKey,Date,FullDateUK,FullDateUSA,DayOfMonth,DaySuffix,DayName,DayOfWeekUSA,DayOfWeekUK,DayOfWeekInMonth,DayOfWeekInYear,DayOfQuarter,DayOfYear,WeekOfMonth,WeekOfQuarter,WeekOfYear,Month,MonthName,MonthOfQuarter,Quarter,QuarterName,Year,YearName,MonthYear,MMYYYY,FirstDayOfMonth,LastDayOfMonth,FirstDayOfQuarter,LastDayOfQuarter,FirstDayOfYear,LastDayOfYear,IsHolidayUSA,IsWeekday,HolidayUSA,IsHolidayUK,HolidayUK,FiscalDayOfYear,FiscalWeekOfYear,FiscalMonth,FiscalQuarter,FiscalQuarterName,FiscalYear,FiscalYearName,FiscalMonthYear,FiscalMMYYYY,FiscalFirstDayOfMonth,FiscalLastDayOfMonth,FiscalFirstDayOfQuarter,FiscalLastDayOfQuarter,FiscalFirstDayOfYear,FiscalLastDayOfYear
20100108,"Friday, January 8, 2010",8/1/2010,1/8/2010,8,8th,Friday,6,5,2,2,2,8,2,2,2,1,January,1,1,First,2010,CY 2010,Jan-10,12010,"Friday, January 1, 2010","Sunday, January 31, 2010","Friday, January 1, 2010","Wednesday, March 31, 2010","Friday, January 1, 2010","Friday, December 31, 2010",FALSE,TRUE,,FALSE,,6,1,1,1,First,2010,FY 2010,Jan-10,12010,"Sunday, January 3, 2010","Saturday, January 30, 2010","Sunday, January 3, 2010","Saturday, April 3, 2010","Sunday, January 3, 2010","Saturday, January 1, 2011"
20100208,"Monday, February 8, 2010",8/2/2010,2/8/2010,8,8th,Monday,2,1,2,6,6,39,2,6,7,2,February,2,1,First,2010,CY 2010,Feb-10,22010,"Monday, February 1, 2010","Sunday, February 28, 2010","Friday, January 1, 2010","Wednesday, March 31, 2010","Friday, January 1, 2010","Friday, December 31, 2010",FALSE,TRUE,,FALSE,,37,6,2,1,First,2010,FY 2010,Feb-10,22010,"Sunday, January 31, 2010","Saturday, March 6, 2010","Sunday, January 3, 2010","Saturday, April 3, 2010","Sunday, January 3, 2010","Saturday, January 1, 2011"
20100209,"Tuesday, February 9, 2010",9/2/2010,2/9/2010,9,9th,Tuesday,3,2,2,6,6,40,2,6,7,2,February,2,1,First,2010,CY 2010,Feb-10,22010,"Monday, February 1, 2010","Sunday, February 28, 2010","Friday, January 1, 2010","Wednesday, March 31, 2010","Friday, January 1, 2010","Friday, December 31, 2010",FALSE,TRUE,,FALSE,,38,6,2,1,First,2010,FY 2010,Feb-10,22010,"Sunday, January 31, 2010","Saturday, March 6, 2010","Sunday, January 3, 2010","Saturday, April 3, 2010","Sunday, January 3, 2010","Saturday, January 1, 2011"
20100210,"Wednesday, February 10, 2010",10/2/2010,2/10/2010,10,10th,Wednesday,4,3,2,6,6,41,2,6,7,2,February,2,1,First,2010,CY 2010,Feb-10,22010,"Monday, February 1, 2010","Sunday, February 28, 2010","Friday, January 1, 2010","Wednesday, March 31, 2010","Friday, January 1, 2010","Friday, December 31, 2010",FALSE,TRUE,,FALSE,,39,6,2,1,First,2010,FY 2010,Feb-10,22010,"Sunday, January 31, 2010","Saturday, March 6, 2010","Sunday, January 3, 2010","Saturday, April 3, 2010","Sunday, January 3, 2010","Saturday, January 1, 2011"
20100211,"Thursday, February 11, 2010",11/2/2010,2/11/2010,11,11th,Thursday,5,4,2,6,6,42,2,6,7,2,February,2,1,First,2010,CY 2010,Feb-10,22010,"Monday, February 1, 2010","Sunday, February 28, 2010","Friday, January 1, 2010","Wednesday, March 31, 2010","Friday, January 1, 2010","Friday, December 31, 2010",FALSE,TRUE,,FALSE,,40,6,2,1,First,2010,FY 2010,Feb-10,22010,"Sunday, January 31, 2010","Saturday, March 6, 2010","Sunday, January 3, 2010","Saturday, April 3, 2010","Sunday, January 3, 2010","Saturday, January 1, 2011"
20100212,"Friday, February 12, 2010",12/2/2010,2/12/2010,12,12th,Friday,6,5,2,7,7,43,2,7,7,2,February,2,1,First,2010,CY 2010,Feb-10,22010,"Monday, February 1, 2010","Sunday, February 28, 2010","Friday, January 1, 2010","Wednesday, March 31, 2010","Friday, January 1, 2010","Friday, December 31, 2010",FALSE,TRUE,,FALSE,,41,6,2,1,First,2010,FY 2010,Feb-10,22010,"Sunday, January 31, 2010","Saturday, March 6, 2010","Sunday, January 3, 2010","Saturday, April 3, 2010","Sunday, January 3, 2010","Saturday, January 1, 2011"
20100308,"Monday, March 8, 2010",8/3/2010,3/8/2010,8,8th,Monday,2,1,2,10,10,67,2,10,11,3,March,3,1,First,2010,CY 2010,Mar-10,32010,"Monday, March 1, 2010","Wednesday, March 31, 2010","Friday, January 1, 2010","Wednesday, March 31, 2010","Friday, January 1, 2010","Friday, December 31, 2010",FALSE,TRUE,,FALSE,,65,10,3,1,First,2010,FY 2010,Mar-10,32010,"Sunday, March 7, 2010","Saturday, April 3, 2010","Sunday, January 3, 2010","Saturday, April 3, 2010","Sunday, January 3, 2010","Saturday, January 1, 2011"
20100309,"Tuesday, March 9, 2010",9/3/2010,3/9/2010,9,9th,Tuesday,3,2,2,10,10,68,2,10,11,3,March,3,1,First,2010,CY 2010,Mar-10,32010,"Monday, March 1, 2010","Wednesday, March 31, 2010","Friday, January 1, 2010","Wednesday, March 31, 2010","Friday, January 1, 2010","Friday, December 31, 2010",FALSE,TRUE,,FALSE,,66,10,3,1,First,2010,FY 2010,Mar-10,32010,"Sunday, March 7, 2010","Saturday, April 3, 2010","Sunday, January 3, 2010","Saturday, April 3, 2010","Sunday, January 3, 2010","Saturday, January 1, 2011"
20100310,"Wednesday, March 10, 2010",10/3/2010,3/10/2010,10,10th,Wednesday,4,3,2,10,10,69,2,10,11,3,March,3,1,First,2010,CY 2010,Mar-10,32010,"Monday, March 1, 2010","Wednesday, March 31, 2010","Friday, January 1, 2010","Wednesday, March 31, 2010","Friday, January 1, 2010","Friday, December 31, 2010",FALSE,TRUE,,FALSE,,67,10,3,1,First,2010,FY 2010,Mar-10,32010,"Sunday, March 7, 2010","Saturday, April 3, 2010","Sunday, January 3, 2010","Saturday, April 3, 2010","Sunday, January 3, 2010","Saturday, January 1, 2011"
20100311,"Thursday, March 11, 2010",11/3/2010,3/11/2010,11,11th,Thursday,5,4,2,10,10,70,2,10,11,3,March,3,1,First,2010,CY 2010,Mar-10,32010,"Monday, March 1, 2010","Wednesday, March 31, 2010","Friday, January 1, 2010","Wednesday, March 31, 2010","Friday, January 1, 2010","Friday, December 31, 2010",FALSE,TRUE,,FALSE,,68,10,3,1,First,2010,FY 2010,Mar-10,32010,"Sunday, March 7, 2010","Saturday, April 3, 2010","Sunday, January 3, 2010","Saturday, April 3, 2010","Sunday, January 3, 2010","Saturday, January 1, 2011"
